"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post infection]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Group8-Subject1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"96-1"	"1"	""	""	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group8-Subject2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"96-2"	"2"	""	""	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group8-Subject3"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"96-3"	"3"	""	""	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group8-Subject4"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"96-4"	"4"	""	""	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group8-Subject5"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"96-5"	"5"	""	""	"96"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group9-Subject1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"C1"	"1"	""	""	"n/a"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group9-Subject2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"C2"	"2"	""	""	"n/a"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group9-Subject3"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"C3"	"3"	""	""	"n/a"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group9-Subject4"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"C4"	"4"	""	""	"n/a"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Group9-Subject5"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Santa Cruz Kada"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"C5"	"5"	""	""	"n/a"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
