"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[SA_inhibition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MRSA_inhibition]"	"Term Source REF"	"Term Accession Number"
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-16"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-06"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-07"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-09"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-10"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-11"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-12"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-13"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-14"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-15"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-16"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-17"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-18"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-07"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-08"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-09"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-10"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-11"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-12"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-13"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-14"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-15"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-17"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-18"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_03"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_04"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_05"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_09"	"active"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_10"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050214B-03"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-03"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-04"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-05"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"050714B-08"	"active"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-03"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-04"	"active"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-05"	"inactive"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-06"	"active"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"120613B-16"	"active"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-05"	"n/a"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-06"	"n/a"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-07"	"n/a"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-08"	"n/a"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-12"	"n/a"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-13"	"n/a"	""	""	"inactive"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-14"	"n/a"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"051313B-15"	"n/a"	""	""	"active"	""	""
