"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"HA_3m_control1Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control1Ad"
"HA_3m_control2Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control2Ad"
"HA_3m_control3Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control3Ad"
"HA_3m_control4Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control4Ad"
"HA_3m_control5Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"wild-type SVEV/129"	""	""	"HA_3m_control5Ad"
"HA_3m_ppar1Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar1Ad"
"HA_3m_ppar2Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar2Ad"
"HA_3m_ppar3Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar3Ad"
"HA_3m_ppar4Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar4Ad"
"HA_3m_ppar5Ad"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. 129/SvEv PPAR-alpha(-/-)"	""	""	"adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001487"	"Sample collection"	"3"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Ppar-alpha-Null"	""	""	"HA_3m_ppar5Ad"
