"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Col-122"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-1"	"Col"	""	""	"1"	""	""
"Col-121"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-1"	"Col"	""	""	"1"	""	""
"Col-124"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-1"	"Col"	""	""	"1"	""	""
"Col-263"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-2"	"Col"	""	""	"2"	""	""
"Col-261"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-2"	"Col"	""	""	"2"	""	""
"Col-262"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-2"	"Col"	""	""	"2"	""	""
"Col-264"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-2"	"Col"	""	""	"2"	""	""
"Col-358"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-3"	"Col"	""	""	"3"	""	""
"Col-356"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-3"	"Col"	""	""	"3"	""	""
"Col-357"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-3"	"Col"	""	""	"3"	""	""
"Col-359"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Col-C-3"	"Col"	""	""	"3"	""	""
"Ct-139"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-1"	"Ct"	""	""	"1"	""	""
"Ct-138"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-1"	"Ct"	""	""	"1"	""	""
"Ct-140"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-1"	"Ct"	""	""	"1"	""	""
"Ct-137"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-1"	"Ct"	""	""	"1"	""	""
"Ct-299"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-3"	"Ct"	""	""	"3"	""	""
"Ct-222"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-2"	"Ct"	""	""	"2"	""	""
"Ct-223"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-2"	"Ct"	""	""	"2"	""	""
"Ct-224"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Ct-C-2"	"Ct"	""	""	"2"	""	""
