"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Chemical Exposure ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time point]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Control1-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-1"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-2"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-3"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-4"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-5"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-6"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-7"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-8"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-9"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control1-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU1-10"	"control group"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-1"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-2"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-3"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-4"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-5"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-6"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-7"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-8"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-9"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control2-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU2-10"	"control group"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-1"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-2"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-3"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-4"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-5"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-6"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-7"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-8"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-9"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Control3-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"CU3-10"	"control group"	""	""	"90"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-1"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-2"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-3"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-4"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-5"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-6"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-7"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-8"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-9"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME1-10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU1-10"	"municipal effluents"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-1"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"ME2-2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ICR Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37408"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"MU2-2"	"municipal effluents"	""	""	"60"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
