"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V1 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 12 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 13 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V10 14 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 11 2"	"ACTH 4 h after treatment"	""	""
"urine "	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"V11 12 2"	"ACTH 4 h after treatment"	""	""
