"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coronatine treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"2_5_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR0_4_2"	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_1_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_1_1"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_1_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_1_2"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_3_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_2_1"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_3_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_2_2"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_4_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_3_1"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_4_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_3_2"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_5_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_4_1"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"6_5_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_27_COR23_4_2"	"23"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"27"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_2_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_1_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_2_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_1_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_3_1"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_2_1"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"10_3_2"	"Lemna paucicostata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/89585"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Lemna_32_CON_2_2"	"EFO:control"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"32"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
