"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-1-pos"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-2-pos"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-3-pos"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-1-pos"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-2-pos"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-3-pos"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-1-pos"	"Leaf decoction"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-2-pos"	"Leaf decoction"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-3-pos"	"Leaf decoction"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-1-neg"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-2-neg"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LJ-3-neg"	"Leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-1-neg"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-2-neg"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BLJ-3-neg"	"Brewed leaf juice"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-1-neg"	"Leaf decoction"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-2-neg"	"Leaf decoction"	""	""
"Tropical Fruit World"	"Carica papaya"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3649"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LD-3-neg"	"Leaf decoction"	""	""
