"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample dry weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B10_104"	"109"	""	""	"0.0441"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"0.25"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B1_098"	"4"	""	""	"0.0503"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B2_096"	"16"	""	""	"0.0487"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B3_094"	"34"	""	""	"0.0591"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B4_099"	"47"	""	""	"0.0569"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B5_092"	"54"	""	""	"0.0395"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B6_100"	"69"	""	""	"0.0401"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B7_095"	"78"	""	""	"0.0541"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B8_093"	"92"	""	""	"0.0563"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B9_097"	"99"	""	""	"0.0392"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B10_091"	"118"	""	""	"0.0429"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"1"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B1_085"	"10"	""	""	"0.0465"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B2_086"	"20"	""	""	"0.0493"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
"IWM Lab"	"Eisenia fetida"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6396"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"SAMP_B3_083"	"28"	""	""	"0.0393"	"gram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000021"	"4"	"milligram per kilogram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000308"	"MeTCS"	""	""
