"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivar]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Transgene]"	"Term Source REF"	"Term Accession Number"
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT4"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT5"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT6"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT7"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT8"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-WT9"	"Silcora"	""	""	"WT"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_1"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_2"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_3"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_4"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_5"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_6"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_7"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_8"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM1_9"	"Silcora"	""	""	"GM1"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_1"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_2"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_3"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_4"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_5"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_6"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_7"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_8"	"Silcora"	""	""	"GM2"	""	""
"Lotto1"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Silcora"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"NMR sample"	"SIL-GM2_9"	"Silcora"	""	""	"GM2"	""	""
