"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivation Year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 Concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"080314_05_5_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_5_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_8"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_8"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_8_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_8_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_11"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_11"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_11_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_11_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_14"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_14"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_14_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_14_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_1"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_1"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_1_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_1_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_4"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_4"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_4_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_4_run02"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_06_7"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_06_7"	"2006"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
