"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Feeding Diets]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_2"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_3"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_4"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_5"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_16"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_27"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_28"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MQC_29"	"QC Pooled"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_6"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_8"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_10"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_12"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_14"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_17"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_19"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_21"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_23"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MAF_25"	"Artificial Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_7"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_9"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_11"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_13"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_15"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_18"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_20"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_22"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_24"	"Grass Feed"	""	""	"Male"	""	""
"Ctenopharyngodon idellus"	"Ctenopharyngodon idella"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7959"	"skeletal muscle organ"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0014892"	"Sample collection"	"MGF_26"	"Grass Feed"	""	""	"Male"	""	""
