"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Matrix]"	"Term Source REF"	"Term Accession Number"
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW3_3"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW4_1"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW4_2"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW4_3"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW5_1"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW5_2"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW5_3"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP1_1"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP1_2"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP1_3"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP2_1"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP2_2"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP2_3"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP3_1"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP3_2"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP3_3"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP4_1"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP4_2"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP4_3"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP5_1"	"Water C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"WP5_2"	"Water C12/ PBS C13"	""	""
