"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[area]"	"Term Source REF"	"Term Accession Number"	"Factor Value[drug intervention]"	"Term Source REF"	"Term Accession Number"
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0003"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0004"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0005"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0006"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0007"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M1-SX-AR-0008"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0001"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0002"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0003"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0004"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0005"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0006"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0007"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-GS-AR-0008"	"Gansu"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0001"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0002"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0003"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0004"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0005"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0006"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0007"	"Shanxi"	""	""	""	""	""
"plant"	"Astragalus mongholicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/119829"	""	""	""	"primary root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001182"	"Sample collection"	"M2E-SX-AR-0008"	"Shanxi"	""	""	""	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-1"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-2"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-3"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-4"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-5"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-6"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-7"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-NS-8"	""	""	""	"Control"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-1"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-2"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-3"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-4"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-5"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-6"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-7"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-L-8"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-1"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-2"	"Gansu"	""	""	"Drug intervention"	""	""
"serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Kunming"	""	""	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"serum-GS-AR-H-3"	"Gansu"	""	""	"Drug intervention"	""	""
