"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R1"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R2"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R3"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R4"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R5"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R6"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R7"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G1R8"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Control"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R1"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
"Mouse_abx"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"T1_G2R2"	"Female"	""	""	"5.5"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"T1_Ciprofloxacin"	""	""
