"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant development stage]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Species code]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Exposition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Soil humidity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light conditions]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Substrate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fresh weight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample batch number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[LCMS date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample date]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Collection Season]"	"Term Source REF"	"Term Accession Number"
"Autumn_Calcus_02"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Calcus_02"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"390"	""	""	"17"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Rhysqu_01"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Rhysqu_01"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"299.4"	""	""	"18"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Rhysqu_02"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Rhysqu_02"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"241.6"	""	""	"19"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Calcus_03"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Calcus_03"	"Calcus"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"470.7"	""	""	"20"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Rhysqu_03"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Rhysqu_03"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"325.4"	""	""	"21"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Hypcup_03"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Hypcup_03"	"Hypcup"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"208.6"	""	""	"22"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Gripul_03"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Gripul_03"	"Gripul"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock"	""	""	"224.6"	""	""	"23"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Brarut_03"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Brarut_03"	"Brarut"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"302"	""	""	"24"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Marpol_01"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Marpol_01"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"133.7"	""	""	"25"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Marpol_02"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Marpol_02"	"Marpol"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"113.9"	""	""	"26"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Autumn_Marpol_03"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Autumn_Marpol_03"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"145.5"	""	""	"27"	""	""	"05/12/2016"	""	""	"09/11/2016"	""	""	"Autumn"	""	""
"Winter_Fistax_01"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Fistax_01"	"Fistax"	""	""	"W"	""	""	"damp"	""	""	"shade"	""	""	"Soil"	""	""	"21.9"	""	""	"1"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Fistax_02"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Fistax_02"	"Fistax"	""	""	"W"	""	""	"damp"	""	""	"shade"	""	""	"Soil"	""	""	"25.6"	""	""	"2"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Fistax_03"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Fistax_03"	"Fistax"	""	""	"W"	""	""	"damp"	""	""	"shade"	""	""	"Soil"	""	""	"26.9"	""	""	"3"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Hypcup_01"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Hypcup_01"	"Hypcup"	""	""	"W"	""	""	"fresh"	""	""	"shade"	""	""	"Rock"	""	""	"84.3"	""	""	"4"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Brarut_01"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Brarut_01"	"Brarut"	""	""	"W"	""	""	"fresh"	""	""	"shade"	""	""	"Rock"	""	""	"77.7"	""	""	"5"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Polstr_01"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Polstr_01"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"136.1"	""	""	"6"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Polstr_02"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Polstr_02"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"150.7"	""	""	"7"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Polstr_03"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Polstr_03"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"203.1"	""	""	"8"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Gripul_01"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Gripul_01"	"Gripul"	""	""	"S"	""	""	"dry"	""	""	"half-shade"	""	""	"Rock"	""	""	"48"	""	""	"9"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Hypcup_02"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Hypcup_02"	"Hypcup"	""	""	"S"	""	""	"fresh"	""	""	"sunny"	""	""	"Rock_lean_soil"	""	""	"223.4"	""	""	"10"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Plaund_01"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Plaund_01"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"116"	""	""	"11"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Plaund_02"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Plaund_02"	"Plaund"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"111.4"	""	""	"12"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Plaund_03"	"Plagiomnium undulatum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/95766"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Plaund_03"	"Plaund"	""	""	"SO"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"155.8"	""	""	"13"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Rhysqu_01"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Rhysqu_01"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"161.7"	""	""	"14"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Rhysqu_02"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Rhysqu_02"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"133.4"	""	""	"15"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Rhysqu_03"	"Rhytidiadelphus squarrosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53008"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Rhysqu_03"	"Rhysqu"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Soil"	""	""	"137.9"	""	""	"16"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Calcus_01"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Calcus_01"	"Calcus"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"168.5"	""	""	"17"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Calcus_02"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Calcus_02"	"Calcus"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"174.1"	""	""	"18"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Calcus_03"	"Calliergonella cuspidata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52999"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Calcus_03"	"Calcus"	""	""	"S"	""	""	"damp"	""	""	"half-shade"	""	""	"Soil"	""	""	"201.4"	""	""	"19"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Brarut_02"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Brarut_02"	"Brarut"	""	""	"NW"	""	""	"fresh"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"227.1"	""	""	"20"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Hypcup_03"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Hypcup_03"	"Hypcup"	""	""	"NW"	""	""	"dry"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"192.4"	""	""	"21"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Brarut_03"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Brarut_03"	"Brarut"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Rock_lean_soil"	""	""	"156.4"	""	""	"22"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Gripul_02"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Gripul_02"	"Gripul"	""	""	"NW"	""	""	"dry"	""	""	"shade"	""	""	"Rock"	""	""	"161.8"	""	""	"23"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Gripul_03"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Gripul_03"	"Gripul"	""	""	"N"	""	""	"dry"	""	""	"shade"	""	""	"Rock"	""	""	"200.4"	""	""	"24"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Marpol_01"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Marpol_01"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"59.3"	""	""	"25"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Marpol_02"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Marpol_02"	"Marpol"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"96.4"	""	""	"26"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Winter_Marpol_03"	"Marchantia polymorpha"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3197"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Winter_Marpol_03"	"Marpol"	""	""	"NW"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"163.4"	""	""	"27"	""	""	"08/02/2017"	""	""	"27/01/2017"	""	""	"Winter"	""	""
"Spring_Fistax_01"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Fistax_01"	"Fistax"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"29.8"	""	""	"1"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Fistax_02"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Fistax_02"	"Fistax"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"41.7"	""	""	"2"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Fistax_03"	"Fissidens taxifolius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/52983"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Fistax_03"	"Fistax"	""	""	"N"	""	""	"fresh"	""	""	"shade"	""	""	"Soil"	""	""	"38.7"	""	""	"3"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Gripul_01"	"Grimmia pulvinata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/115594"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Gripul_01"	"Gripul"	""	""	"NW"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"50.9"	""	""	"4"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Brarut_01"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Brarut_01"	"Brarut"	""	""	"NW"	""	""	"fresh"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"89.9"	""	""	"5"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Polstr_01"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Polstr_01"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"229.7"	""	""	"6"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Polstr_02"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Polstr_02"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"191.5"	""	""	"7"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Polstr_03"	"Polytrichum strictum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/129214"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Polstr_03"	"Polstr"	""	""	"S"	""	""	"damp"	""	""	"sunny"	""	""	"Soil"	""	""	"230.3"	""	""	"8"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Hypcup_01"	"Hypnum cupressiforme"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53011"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Hypcup_01"	"Hypcup"	""	""	"S"	""	""	"dry"	""	""	"sunny"	""	""	"Rock"	""	""	"82.9"	""	""	"9"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Brarut_02"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Brarut_02"	"Brarut"	""	""	"S"	""	""	"fresh"	""	""	"half-shade"	""	""	"Rock_lean_soil"	""	""	"67"	""	""	"10"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
"Spring_Brarut_03"	"Brachythecium rutabulum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/53005"	"shoot system"	"PO"	"http://purl.obolibrary.org/obo/PO_0009006"	"gametophyte vegetative stage"	"PO"	"http://purl.obolibrary.org/obo/PO_0025340"	"Sample collection"	"Spring_Brarut_03"	"Brarut"	""	""	"S"	""	""	"dry"	""	""	"sunny"	""	""	"Rock_lean_soil"	""	""	"64.3"	""	""	"11"	""	""	"16/06/2017"	""	""	"11/05/2017"	""	""	"Spring"	""	""
