"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco1_Aq_MSMS_1"	"Aqueous wash MS2"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco1_Aq_MSMS_2"	"Aqueous wash MS2"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco1_Org"	"Organic wash MS1"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco1_Org_MSMS_1"	"Organic wash MS2"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco2_Aq"	"Aqueous wash MS1"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco2_Aq_MSMS_1"	"Aqueous wash MS2"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco_2_Aq_MSMS_2"	"Aqueous wash MS2"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Esco_2_Org"	"Organic wash MS1"	""	""	"Escovopsis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/150372"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Trich_Aq"	"Aqueous wash MS1"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
"Canal Zone in Panama"	"Acromyrmex octospinosus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/64783"	"thorax"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001368"	"Sample collection"	"030415_Trich_Aq_MSMS_1"	"Aqueous wash MS2"	""	""	"Trichoderma"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5543"
