"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet ]"	"Term Source REF"	"Term Accession Number"
"Untreated Diet Induced Obesity Group- Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Untreated Diet Induced Obesity Group- Subject 5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"5C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6A"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6B"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"6C"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7A"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7B"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"7C"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"8A"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"8B"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9A"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9B"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
"Treated Diet Induced Obesity Group - Subject 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"9C"	"PEG-OB(Cys10,Cys13)"	""	""	"High Fat Diet"	""	""
