"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[stimulus]"	"Term Source REF"	"Term Accession Number"
"2.TM.D.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.D.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress (D)"	""	""
"2.TM.D.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.D.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress (D)"	""	""
"2.TM.D.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.D.n4"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress (D)"	""	""
"2.TM.D.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.D.n5"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress (D)"	""	""
"2.TM.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.Control.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"3.TM.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.Control.2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"2.TM.Control.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.Control.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"2.TM.Control.n3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.Control.n3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"2.TM.Control.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.Control.2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"2.TM.Control.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.Control.n5"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"3.TM.Control.n8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.Control.n8"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"3.TM.Control.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.Control.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Control"	""	""
"2.TM.DH_HrH.1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.DH_HrH.1"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.TM.DH_HrH.n10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_HrH.n10"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.TM.DH_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.DH_HrH.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.TM.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.DH_HrH.2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.TM.DH_HrH.n4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.DH_HrH.n4"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.TM.DH_HrH.n5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.DH_HrH.n5"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.TM.DH_HrH.2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_HrH.2"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"3.TM.DH_HrH.n9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"3.TM.DH_HrH.n9"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Drought stress plus heat stress with high relative air humidity (DH_HrH)"	""	""
"2.TM.H_HrH.3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"2.TM.H_HrH.3"	"pip2;1 pip2;2 pip2;4 triple mutant (TM)"	""	""	"Heat stress with high relative air humidity (H_HrH)"	""	""
