"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Collision energy]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"36_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37_20ev"	"20"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37_30ev"	"30"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37_40ev"	"40"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"37_50ev"	"50"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
"ITB Accession idmsms"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"60_MS"	"0"	"electronvolt"	"UO"	"http://purl.obolibrary.org/obo/UO_0000266"
