"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Base]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"
"Mouse 17"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 17 Blood CMC RESV"	"CMC"	""	""	"Blood"	""	""
"Mouse 18"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 18 Blood CMC RESV"	"CMC"	""	""	"Blood"	""	""
"Mouse 19"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 19 Blood EtOH control"	"EtOH"	""	""	"Blood"	""	""
"Mouse 20"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 20 Blood EtOH control"	"EtOH"	""	""	"Blood"	""	""
"Mouse 21"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 21 Blood EtOH control"	"EtOH"	""	""	"Blood"	""	""
"Mouse 22"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 22 Blood EtOH RESV"	"EtOH"	""	""	"Blood"	""	""
"Mouse 23"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 23 Blood EtOH RESV"	"EtOH"	""	""	"Blood"	""	""
"Mouse 24"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 24 Blood EtOH RESV"	"EtOH"	""	""	"Blood"	""	""
"Mouse 1"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 1 Liver HO control"	"HO"	""	""	"Liver"	""	""
"Mouse 2"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 2 Liver HO control"	"HO"	""	""	"Liver"	""	""
"Mouse 3"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 3 Liver HO control"	"HO"	""	""	"Liver"	""	""
"Mouse 4"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 4 Liver HO RESV"	"HO"	""	""	"Liver"	""	""
"Mouse 5"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 5 Liver HO RESV"	"HO"	""	""	"Liver"	""	""
"Mouse 6"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 6 Liver HO RESV"	"HO"	""	""	"Liver"	""	""
"Mouse 7"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 7 Liver Ma control"	"Ma"	""	""	"Liver"	""	""
"Mouse 8"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 8 Liver Ma control"	"Ma"	""	""	"Liver"	""	""
"Mouse 9"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 9 Liver Ma control"	"Ma"	""	""	"Liver"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 10 Liver Ma RESV"	"Ma"	""	""	"Liver"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 11 Liver Ma RESV"	"Ma"	""	""	"Liver"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 12 Liver Ma RESV"	"Ma"	""	""	"Liver"	""	""
"Mouse 13"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 13 Liver CMC control"	"CMC"	""	""	"Liver"	""	""
"Mouse 14"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 14 Liver CMC control"	"CMC"	""	""	"Liver"	""	""
"Mouse 15"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 15 Liver CMC control"	"CMC"	""	""	"Liver"	""	""
"Mouse 16"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 16 Liver CMC RESV"	"CMC"	""	""	"Liver"	""	""
"Mouse 17"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 17 Liver CMC RESV"	"CMC"	""	""	"Liver"	""	""
"Mouse 18"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 18 Liver CMC RESV"	"CMC"	""	""	"Liver"	""	""
"Mouse 19"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 19 Liver EtOH control"	"EtOH"	""	""	"Liver"	""	""
"Mouse 20"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 20 Liver EtOH control"	"EtOH"	""	""	"Liver"	""	""
"Mouse 21"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 21 Liver EtOH control"	"EtOH"	""	""	"Liver"	""	""
"Mouse 22"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 22 Liver EtOH RESV"	"EtOH"	""	""	"Liver"	""	""
"Mouse 23"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 23 Liver EtOH RESV"	"EtOH"	""	""	"Liver"	""	""
"Mouse 24"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"Mouse 24 Liver EtOH RESV"	"EtOH"	""	""	"Liver"	""	""
"Mouse 1"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 1 Dorsal skin HO control"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 2"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 2 Dorsal skin HO control"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 3"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 3 Dorsal skin HO control"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 4"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 4 Dorsal skin HO RESV"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 5"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 5 Dorsal skin HO RESV"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 6"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 6 Dorsal skin HO RESV"	"HO"	""	""	"Dorsal skin"	""	""
"Mouse 7"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 7 Dorsal skin Ma control"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 8"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 8 Dorsal skin Ma control"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 9"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 9 Dorsal skin Ma control"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 10"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 10 Dorsal skin Ma RESV"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 11"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 11 Dorsal skin Ma RESV"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 12"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 12 Dorsal skin Ma RESV"	"Ma"	""	""	"Dorsal skin"	""	""
"Mouse 13"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 13 Dorsal skin CMC control"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 14"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 14 Dorsal skin CMC control"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 15"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 15 Dorsal skin CMC control"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 16"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 16 Dorsal skin CMC RESV"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 17"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 17 Dorsal skin CMC RESV"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 18"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 18 Dorsal skin CMC RESV"	"CMC"	""	""	"Dorsal skin"	""	""
"Mouse 19"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 19 Dorsal skin EtOH control"	"EtOH"	""	""	"Dorsal skin"	""	""
"Mouse 20"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 20 Dorsal skin EtOH control"	"EtOH"	""	""	"Dorsal skin"	""	""
"Mouse 21"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 21 Dorsal skin EtOH control"	"EtOH"	""	""	"Dorsal skin"	""	""
"Mouse 22"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 22 Dorsal skin EtOH RESV"	"EtOH"	""	""	"Dorsal skin"	""	""
"Mouse 23"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 23 Dorsal skin EtOH RESV"	"EtOH"	""	""	"Dorsal skin"	""	""
"Mouse 24"	"Mus musculus"	"NCBITAXON"	""	"Nude Mouse "	"NCIT"	""	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 24 Dorsal skin EtOH RESV"	"EtOH"	""	""	"Dorsal skin"	""	""
