"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[EthAc percentage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E030_B_008"	"30"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E040_C_009"	"40"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E005_B_010"	"5"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E080_B_011"	"80"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E035_A_013"	"35"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E045_A_014"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E045_C_015"	"45"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E020_A_016"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E075_B_018"	"75"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E055_C_028"	"55"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E015_C_029"	"15"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E055_A_030"	"55"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E070_C_031"	"70"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E100_C_032"	"100"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E040_A_033"	"40"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E000_A_035"	"0"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E035_B_036"	"35"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
"Leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"E020_B_039"	"20"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Cassave extract"	""	""
