"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[EthAc percentage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc2_Lu2_D04"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc2_Lu2_C05"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc1_Lu1_B07"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc0_Lu0_A08"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc1_Lu1_A11"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc1_Lu1_D13"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc0_Lu0_B14"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc0_Lu0_D16"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc2_Lu2_B20"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Spiked leaf extract"	"Manihot esculenta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3983"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"Bc2_Lu2_A21"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Spiked cassave extract"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar0ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar5ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar10ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar15ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar20ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"Bcar25ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein0ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein20ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein40ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein60ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
"Calibration sample"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"lutein80ug/mL"	"10"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"Chemical standard"	""	""
