"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Food]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Facility]"	"Term Source REF"	"Term Accession Number"
"LBNL_CC030_M_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC030_M_44"	"LBNL"	""	""	"CC030"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC032_F_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC032_F_29"	"LBNL"	""	""	"CC032"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC032_M_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC032_M_30"	"LBNL"	""	""	"CC032"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC033_F_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC033_F_33"	"LBNL"	""	""	"CC033"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC033_M_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC033_M_34"	"LBNL"	""	""	"CC033"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC036_F_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC036_F_35"	"LBNL"	""	""	"CC036"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC036_M_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC036_M_36"	"LBNL"	""	""	"CC036"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC037_F_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC037_F_13"	"LBNL"	""	""	"CC037"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC037_M_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC037_M_14"	"LBNL"	""	""	"CC037"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC038_F_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC038_F_47"	"LBNL"	""	""	"CC038"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC038_M_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC038_M_48"	"LBNL"	""	""	"CC038"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC039_F_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC039_F_11"	"LBNL"	""	""	"CC039"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC039_M_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC039_M_12"	"LBNL"	""	""	"CC039"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC050_F_41"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC050_F_41"	"LBNL"	""	""	"CC050"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC050_M_42"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC050_M_42"	"LBNL"	""	""	"CC050"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC051_F_01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC051_F_01"	"LBNL"	""	""	"CC051"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC051_M_02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC051_M_02"	"LBNL"	""	""	"CC051"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC052_F_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC052_F_39"	"LBNL"	""	""	"CC052"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC052_M_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC052_M_40"	"LBNL"	""	""	"CC052"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC055_F_05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC055_F_05"	"LBNL"	""	""	"CC055"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC055_M_06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC055_M_06"	"LBNL"	""	""	"CC055"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC057_F_49"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC057_F_49"	"LBNL"	""	""	"CC057"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC057_M_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC057_M_50"	"LBNL"	""	""	"CC057"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC061_F_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC061_F_51"	"LBNL"	""	""	"CC061"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC061_M_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC061_M_52"	"LBNL"	""	""	"CC061"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_CC065_F_09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC065_F_09"	"LBNL"	""	""	"CC065"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_CC065_M_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_CC065_M_10"	"LBNL"	""	""	"CC065"	""	""	"M"	""	""	"LBNL"	""	""
"UNC_CC002_F_04"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC002_F_04"	"UNC"	""	""	"CC002"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC002_M_03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC002_M_03"	"UNC"	""	""	"CC002"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC004_F_06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC004_F_06"	"UNC"	""	""	"CC004"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC004_M_05"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC004_M_05"	"UNC"	""	""	"CC004"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC008_F_08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC008_F_08"	"UNC"	""	""	"CC008"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC008_M_07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC008_M_07"	"UNC"	""	""	"CC008"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC010_F_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC010_F_10"	"UNC"	""	""	"CC010"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC010_M_09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC010_M_09"	"UNC"	""	""	"CC010"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC011_F_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC011_F_12"	"UNC"	""	""	"CC011"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC011_M_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC011_M_11"	"UNC"	""	""	"CC011"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC013_F_63"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC013_F_63"	"UNC"	""	""	"CC013"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC013_M_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC013_M_13"	"UNC"	""	""	"CC013"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC016_F_16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC016_F_16"	"UNC"	""	""	"CC016"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC016_M_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC016_M_15"	"UNC"	""	""	"CC016"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC021_F_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC021_F_20"	"UNC"	""	""	"CC021"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC021_M_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC021_M_19"	"UNC"	""	""	"CC021"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC026_F_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC026_F_22"	"UNC"	""	""	"CC026"	""	""	"F"	""	""	"UNC"	""	""
