"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Food]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sex]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Facility]"	"Term Source REF"	"Term Accession Number"
"UNC_CC036_M_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC036_M_31"	"UNC"	""	""	"CC036"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC037_F_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC037_F_34"	"UNC"	""	""	"CC037"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC037_M_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC037_M_33"	"UNC"	""	""	"CC037"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC038_F_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC038_F_36"	"UNC"	""	""	"CC038"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC038_M_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC038_M_35"	"UNC"	""	""	"CC038"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC039_F_38"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC039_F_38"	"UNC"	""	""	"CC039"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC039_M_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC039_M_37"	"UNC"	""	""	"CC039"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC050_F_46"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC050_F_46"	"UNC"	""	""	"CC050"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC050_M_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC050_M_45"	"UNC"	""	""	"CC050"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC051_F_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC051_F_48"	"UNC"	""	""	"CC051"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC051_M_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC051_M_47"	"UNC"	""	""	"CC051"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC052_F_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC052_F_50"	"UNC"	""	""	"CC052"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC052_M_49"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC052_M_49"	"UNC"	""	""	"CC052"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC055_F_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC055_F_52"	"UNC"	""	""	"CC055"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC055_M_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC055_M_51"	"UNC"	""	""	"CC055"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC057_F_62"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC057_F_62"	"UNC"	""	""	"CC057"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC057_M_53"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC057_M_53"	"UNC"	""	""	"CC057"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC061_F_58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC061_F_58"	"UNC"	""	""	"CC061"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC061_M_57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC061_M_57"	"UNC"	""	""	"CC061"	""	""	"M"	""	""	"UNC"	""	""
"UNC_CC065_F_60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC065_F_60"	"UNC"	""	""	"CC065"	""	""	"F"	""	""	"UNC"	""	""
"UNC_CC065_M_59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_CC065_M_59"	"UNC"	""	""	"CC065"	""	""	"M"	""	""	"UNC"	""	""
"ONR_CC_LBNL_MouseChow_1"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_LBNL_MouseChow_1"	"LBNL"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_LBNL_MouseChow_2"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_LBNL_MouseChow_2"	"LBNL"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_LBNL_MouseChow_3"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_LBNL_MouseChow_3"	"LBNL"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow_1"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow_1"	"UNC"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow_2"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow_2"	"UNC"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow_3"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow_3"	"UNC"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow-A_1"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow-A_1"	"UNC-Autoclaved"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow-A_2"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow-A_2"	"UNC-Autoclaved"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"ONR_CC_UNC_MouseChow-A_3"	"Food"	"NCBITAXON"	"http://purl.bioontology.org/ontology/STY/T168"	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"ONR_CC_UNC_MouseChow-A_3"	"UNC-Autoclaved"	""	""	"N/A"	""	""	"N/A"	""	""	"N/A"	""	""
"LBNL_DietX_CC019_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC019_F_A"	"LBNL"	""	""	"CC019"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC019_F_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC019_F_B"	"UNC"	""	""	"CC019"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC019_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC019_M_A"	"LBNL"	""	""	"CC019"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC019_M_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC019_M_B"	"UNC"	""	""	"CC019"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC028_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC028_F_A"	"LBNL"	""	""	"CC028"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC028_F_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC028_F_B"	"UNC"	""	""	"CC028"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC028_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC028_M_A"	"LBNL"	""	""	"CC028"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC028_M_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC028_M_B"	"UNC"	""	""	"CC028"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC042_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC042_F_A"	"LBNL"	""	""	"CC042"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC042_F_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC042_F_B"	"UNC"	""	""	"CC042"	""	""	"F"	""	""	"LBNL"	""	""
"LBNL_DietX_CC042_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC042_M_A"	"LBNL"	""	""	"CC042"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC042_M_B"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC042_M_B"	"UNC"	""	""	"CC042"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC061_M_A1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC061_M_A1"	"LBNL"	""	""	"CC061"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC061_M_A2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC061_M_A2"	"LBNL"	""	""	"CC061"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC061_M_B1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC061_M_B1"	"UNC"	""	""	"CC061"	""	""	"M"	""	""	"LBNL"	""	""
"LBNL_DietX_CC061_M_B2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"LBNL_DietX_CC061_M_B2"	"UNC"	""	""	"CC061"	""	""	"M"	""	""	"LBNL"	""	""
"UNC_DietX_CC019_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC019_F_A"	"UNC"	""	""	"CC019"	""	""	"F"	""	""	"UNC"	""	""
"UNC_DietX_CC019_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC019_M_A"	"UNC"	""	""	"CC019"	""	""	"M"	""	""	"UNC"	""	""
"UNC_DietX_CC028_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC028_F_A"	"UNC"	""	""	"CC028"	""	""	"F"	""	""	"UNC"	""	""
"UNC_DietX_CC028_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC028_M_A"	"UNC"	""	""	"CC028"	""	""	"M"	""	""	"UNC"	""	""
"UNC_DietX_CC042_F_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC042_F_A"	"UNC"	""	""	"CC042"	""	""	"F"	""	""	"UNC"	""	""
"UNC_DietX_CC042_M_A"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC042_M_A"	"UNC"	""	""	"CC042"	""	""	"M"	""	""	"UNC"	""	""
"UNC_DietX_CC061_M_A1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC061_M_A1"	"UNC"	""	""	"CC061"	""	""	"M"	""	""	"UNC"	""	""
"UNC_DietX_CC061_M_A2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"feces"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000440"	"Sample collection"	"UNC_DietX_CC061_M_A2"	"UNC"	""	""	"CC061"	""	""	"M"	""	""	"UNC"	""	""
