"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Carotenoids]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Phytohormones]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_290h"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_224k"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_224j"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_224i"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_224h"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_223n"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_223m"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_223l"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_223h"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
"Tomato Fruit Sample"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Moneymaker"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lut_C_221j"	"60.82 ± 13.56"	"Milligram per Kilogram"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67401"	""	"arbitrary units"	""	""
