"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Polarity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Preservative]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_0"	"blank"	""	""	"1"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_1"	"blank"	""	""	"2"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_2"	"blank"	""	""	"3"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_3"	"blank"	""	""	"4"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_5"	"blank"	""	""	"16"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_6"	"blank"	""	""	"28"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_7"	"blank"	""	""	"40"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_8"	"blank"	""	""	"52"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Blanc_NEG_9"	"blank"	""	""	"64"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F0-1_NEG"	"sample"	""	""	"60"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
