"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Region]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extract]"	"Term Source REF"	"Term Accession Number"
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Amritsar aqueous"	"Amritsar"	""	""	"aqueous"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Amritsar methanolic"	"Amritsar"	""	""	"methanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Amritsar ethanolic"	"Amritsar"	""	""	"ethanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Amritsar hydroalcoholic"	"Amritsar"	""	""	"hydroalcoholic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Bathinda aqueous"	"Bathinda"	""	""	"aqueous"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Bathinda Ethanolic"	"Bathinda"	""	""	"ethanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Bathinda methanolic"	"Bathinda"	""	""	"methanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Bathinda hydroalcoholic"	"Bathinda"	""	""	"hydroalcoholic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Patiala aqueous"	"Patiala"	""	""	"aqueous"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Patiala ethanolic"	"Patiala"	""	""	"ethanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Patiala methanolic"	"Patiala"	""	""	"methanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Patiala hydroalcoholic"	"Patiala"	""	""	"hydroalcoholic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Roopnagar aqueous"	"Roopnagar"	""	""	"aqueous"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Roopnagar ethanolic"	"Roopnagar"	""	""	"ethanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Roopnagar methanolic"	"Roopnagar"	""	""	"methanolic"	""	""
"Phyllantus niruri"	"Phyllanthus niruri"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/296034"	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Roopnagar hydroalcoholic"	"Roopnagar"	""	""	"hydroalcoholic"	""	""
