"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Sponge_SVA3"	"Coral reef sea water"	""	""	"exometabolome"	""	""	"Sample collection"	"Sponge_SVA3"	"ambient reef Spheciospongia vesparium"	""	""	"3"	""	""
"Sponge_SVE1"	"Spheciospongia vesparium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/295237"	"exometabolome"	""	""	"Sample collection"	"Sponge_SVE1"	"exhalent Spheciospongia vesparium"	""	""	"1"	""	""
"Sponge_SVE2"	"Spheciospongia vesparium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/295237"	"exometabolome"	""	""	"Sample collection"	"Sponge_SVE2"	"exhalent Spheciospongia vesparium"	""	""	"2"	""	""
"Sponge_SVE3"	"Spheciospongia vesparium"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/295237"	"exometabolome"	""	""	"Sample collection"	"Sponge_SVE3"	"exhalent Spheciospongia vesparium"	""	""	"3"	""	""
"Sponge_ICA1"	"Coral reef sea water"	""	""	"exometabolome"	""	""	"Sample collection"	"Sponge_ICA1"	"ambient reef Ircinia campana"	""	""	"1"	""	""
"Sponge_ICA2"	"Coral reef sea water"	""	""	"exometabolome"	""	""	"Sample collection"	"Sponge_ICA2"	"ambient reef Ircinia campana"	""	""	"2"	""	""
"Sponge_ICA3"	"Coral reef sea water"	""	""	"exometabolome"	""	""	"Sample collection"	"Sponge_ICA3"	"ambient reef Ircinia campana"	""	""	"3"	""	""
"Sponge_ICE1"	"Ircinia campana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/458501"	"exometabolome"	""	""	"Sample collection"	"Sponge_ICE1"	"exhalent Ircinia campana"	""	""	"1"	""	""
"Sponge_ICE2"	"Ircinia campana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/458501"	"exometabolome"	""	""	"Sample collection"	"Sponge_ICE2"	"exhalent Ircinia campana"	""	""	"2"	""	""
"Sponge_ICE3"	"Ircinia campana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/458501"	"exometabolome"	""	""	"Sample collection"	"Sponge_ICE3"	"exhalent Ircinia campana"	""	""	"3"	""	""
"Off_reef"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"Off_reef"	"off reef"	""	""	"1"	""	""
"Off_reef"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"Off_reef"	"off reef"	""	""	"2"	""	""
