"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Extraction Solvent]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Metabolism Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subsampling Method]"	"Term Source REF"	"Term Accession Number"
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_MTBE_03"	"Methyl tert-butyl ether"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_MTBE_04"	"Methyl tert-butyl ether"	""	""	""	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_01"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_02"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_03"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_04"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_05"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Frozen_06"	"Bligh and Dyer"	""	""	"Frozen"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_01"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_02"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
