"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[glucose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_A"	"1"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_B"	"2"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_C"	"3"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_A"	"1"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_B"	"2"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_C"	"3"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_004glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_004G_A"	"1"	""	""	"0.04"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_004glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_004G_B"	"2"	""	""	"0.04"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_004glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_004G_C"	"3"	""	""	"0.04"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_003glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_003G_A"	"1"	""	""	"0.03"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_003glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_003G_B"	"2"	""	""	"0.03"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_003glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_003G_C"	"3"	""	""	"0.03"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_002glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_002G_A"	"1"	""	""	"0.02"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_002glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_002G_B"	"2"	""	""	"0.02"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_002glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_002G_C"	"3"	""	""	"0.02"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_000glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_000G_A"	"1"	""	""	"0"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_000glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_000G_B"	"2"	""	""	"0"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_000glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_000G_C"	"3"	""	""	"0"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
