"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob01"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob02"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob03"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob04"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob05"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob06"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob07"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob08"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob09"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob10"	"standard chow diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
