"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Group]"	"Term Source REF"	"Term Accession Number"
"21"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"21"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"22"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"22"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"23"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"23"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"24"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"24"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"25"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"25"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"26"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"26"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"27"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"27"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"28"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"28"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"29"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"29"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"30"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"30"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"31"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"31"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"32"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"32"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"33"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"33"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"34"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"34"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"35"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"35"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"36"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"36"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"37"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"37"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"38"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"38"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"39"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"39"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"40"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"40"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"41"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"41"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"42"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"42"	"100"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 1"	""	""
"43"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"43"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"44"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"44"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"45"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"45"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"46"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"46"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"47"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"47"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"48"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"48"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"49"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"49"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"50"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"50"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"51"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"51"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"52"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"52"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"53"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"53"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"54"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"54"	"300"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2"	""	""
"55"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"55"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"56"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"56"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"57"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"57"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"58"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"58"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"59"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"59"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"60"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"60"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Intermediate 2 Rec."	""	""
"61"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"61"	"1000"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"High"	""	""
"62"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"62"	"1000"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"High"	""	""
"63"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"63"	"1000"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"High"	""	""
"65"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"65"	"1000"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"High"	""	""
"66"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"66"	"1000"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"High"	""	""
