"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"WB_060212_ASWAT_06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_06"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_07"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_08"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_09"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_10"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_11"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_12"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_13"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_14"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_15"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
