"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"callipyge_plasma_168"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_168"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_169"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_169"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_171"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_171"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_172"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_172"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_173"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_173"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_190"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_190"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Normal"	""	""
"callipyge_plasma_191"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_191"	"8"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_123"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_123"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_125"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_125"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_126"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_126"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
