"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn03"	"POS_ToF_GreenTea_QCn03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"73"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn04"	"POS_ToF_GreenTea_QCn04.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"93"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn05"	"POS_ToF_GreenTea_QCn05.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"113"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn06"	"POS_ToF_GreenTea_QCn06.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"133"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn07"	"POS_ToF_GreenTea_QCn07.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"153"	""	""
"GreenTea_QC"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_QCn08"	"POS_ToF_GreenTea_QCn08.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"173"	""	""
"GreenTea_Sample01"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S01n01"	"POS_ToF_GreenTea_S01n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"129"	""	""
"GreenTea_Sample01"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S01n02"	"POS_ToF_GreenTea_S01n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"108"	""	""
"GreenTea_Sample01"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S01n03"	"POS_ToF_GreenTea_S01n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"143"	""	""
"GreenTea_Sample02"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S02n01"	"POS_ToF_GreenTea_S02n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"107"	""	""
