"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"
"GreenTea_Sample05"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S05n03"	"POS_ToF_GreenTea_S05n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"126"	""	""
"GreenTea_Sample06"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S06n01"	"POS_ToF_GreenTea_S06n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"68"	""	""
"GreenTea_Sample06"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S06n02"	"POS_ToF_GreenTea_S06n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"87"	""	""
"GreenTea_Sample06"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S06n03"	"POS_ToF_GreenTea_S06n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"104"	""	""
"GreenTea_Sample07"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S07n01"	"POS_ToF_GreenTea_S07n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"20"	""	""
"GreenTea_Sample07"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S07n02"	"POS_ToF_GreenTea_S07n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"136"	""	""
"GreenTea_Sample07"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S07n03"	"POS_ToF_GreenTea_S07n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"118"	""	""
"GreenTea_Sample08"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S08n01"	"POS_ToF_GreenTea_S08n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"19"	""	""
"GreenTea_Sample08"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S08n02"	"POS_ToF_GreenTea_S08n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"66"	""	""
"GreenTea_Sample08"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S08n03"	"POS_ToF_GreenTea_S08n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"57"	""	""
"GreenTea_Sample09"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S09n01"	"POS_ToF_GreenTea_S09n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"36"	""	""
"GreenTea_Sample09"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S09n02"	"POS_ToF_GreenTea_S09n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"163"	""	""
"GreenTea_Sample09"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S09n03"	"POS_ToF_GreenTea_S09n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"128"	""	""
