"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Geographical origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking mix]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking level]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample01"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample02"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample03"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample04"	"Japan"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample05"	"Japan"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample06"	"Japan"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample07"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample08"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_Sample09"	"Japan"	""	""	"n°1 (11 molecules)"	""	""	"30"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Bancha Green tea, Japan"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"GreenTea_QC"	"Japan"	""	""	"N/A"	""	""	"N/A"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"GreenTea_blank"	"acetonitrile"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_38472"	""	""	""	"N/A"	""	""	"Sample collection"	"GreenTea_Blank"	""	""	""	"N/A"	""	""	"N/A"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
