"variable.name"	"HU_neg_011_b2"	"HU_neg_014_b2"	"HU_neg_015_b2"	"HU_neg_017"	"HU_neg_018"	"HU_neg_019_b2"	"HU_neg_020"	"HU_neg_021"	"HU_neg_022_b2"	"HU_neg_023_b2"	"HU_neg_024_b2"	"HU_neg_025_b2"	"HU_neg_026_b2"	"HU_neg_027"	"HU_neg_028"	"HU_neg_029_b2"	"HU_neg_030_b2"	"HU_neg_031_b2"	"HU_neg_032"	"HU_neg_033_b2"	"HU_neg_034"	"HU_neg_035_b2"	"HU_neg_036_b2"	"HU_neg_037"	"HU_neg_038_b2"	"HU_neg_039_b2"	"HU_neg_040_b2"	"HU_neg_041"	"HU_neg_042_b2"	"HU_neg_043"	"HU_neg_044"	"HU_neg_045_b2"	"HU_neg_046_b2"	"HU_neg_047"	"HU_neg_048"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_053_b2"	"HU_neg_054_b2"	"HU_neg_055"	"HU_neg_056_b2"	"HU_neg_057_b2"	"HU_neg_058_b2"	"HU_neg_060"	"HU_neg_061"	"HU_neg_062_b2"	"HU_neg_063_b2"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_067_b2"	"HU_neg_068"	"HU_neg_069_b2"	"HU_neg_070_b2"	"HU_neg_072"	"HU_neg_073_b2"	"HU_neg_074_b2"	"HU_neg_075_b2"	"HU_neg_076_b2"	"HU_neg_077"	"HU_neg_078"	"HU_neg_079"	"HU_neg_080_b2"	"HU_neg_081_b2"	"HU_neg_082_b2"	"HU_neg_083"	"HU_neg_084_b2"	"HU_neg_085_b2"	"HU_neg_086"	"HU_neg_087_b2"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_092_b2"	"HU_neg_093"	"HU_neg_094"	"HU_neg_095_b2"	"HU_neg_096_b2"	"HU_neg_097_b2"	"HU_neg_098_b2"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_102_b2"	"HU_neg_103_b2"	"HU_neg_105"	"HU_neg_106_b2"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"HU_neg_112_b2"	"HU_neg_113_b2"	"HU_neg_114_b2"	"HU_neg_115_b2"	"HU_neg_116"	"HU_neg_117_b2"	"HU_neg_118"	"HU_neg_119_b2"	"HU_neg_120_b2"	"HU_neg_121_b2"	"HU_neg_122_b2"	"HU_neg_123"	"HU_neg_124_b2"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"HU_neg_129_b2"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_135_b2"	"HU_neg_136_b2"	"HU_neg_137_b2"	"HU_neg_138"	"HU_neg_139_b2"	"HU_neg_140_b2"	"HU_neg_142_b2"	"HU_neg_143_b2"	"HU_neg_144"	"HU_neg_145_b2"	"HU_neg_146_b2"	"HU_neg_147_b2"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"HU_neg_152"	"HU_neg_154"	"HU_neg_155_b2"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_159_b2"	"HU_neg_160_b2"	"HU_neg_162_b2"	"HU_neg_163"	"HU_neg_164_b2"	"HU_neg_166_b2"	"HU_neg_167_b2"	"HU_neg_168_b2"	"HU_neg_169_b2"	"HU_neg_170"	"HU_neg_171"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_177_b2"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"HU_neg_183_b2"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_187_b2"	"HU_neg_188_b2"	"HU_neg_189"	"HU_neg_190_b2"	"HU_neg_191_b2"	"HU_neg_192"	"HU_neg_193_b2"	"HU_neg_194_b2"	"HU_neg_195_b2"	"HU_neg_196"	"HU_neg_197_b2"	"HU_neg_198_b2"	"HU_neg_199_b2"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_203_b2"	"HU_neg_204"	"HU_neg_205_b2"	"HU_neg_206_b2"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"
"X147.065655_4.75"	33714	99843	88831	3193	148709	308122	21610	43331	60478	71656	3073860	33298	198084	12792	3307077	47026	67547	607.5	61574	607.5	26880	786643	274209	5339	73762	4903004	716412	50632	71395	157590	13063	126976	494328	22310	71074	6501135	17498866	148359	506.5	4044643	144362	17818	607.5	57931	130475	4700992	36723	99264	312148	22260	160245	436660	144958	586825	142714	607.5	64499	3847455	690355	131196	60202	202618	53747	65637	293164	544490	1131592	83410	179756	251705	376230	396065	315405	53793	25810	447638	155386	4563	20787	106252	607.5	404783	482320	90304	22132	26306	392119	174319	11462	72099	116891	25968	3634	27028	306347	131148	55462	402890	822593	607.5	29618	607.5	64850	71642	247213	1876866	62054	11139	182637	138896	132765	69020	77839	495836	95178	28666	147421	38935	607.5	996677	42986	565976	216205	380956	103953	171375	37766	273108	191754	424129	20379	34980	17798	138801	24986	125306	16683	66507	1976437	607.5	248567	53797	224880	21057	106160	55550	80876	48904	177924	99067	926213	40156	43560	102234	102614	243205	13941	1122075	41577	9877	13001	36430	9854	1000744	100060	64832	462726	139064	264705	79308	380522	117848	94359	607.5	15801	131621	55452	92619	51348	159751	607.5	75541	12725	133862
"X259.128923_5.25"	256102	309401	446367	202963	1141194	591674	221005	839104	210378	79073	359063	439585	239914	184143	563885	536317	718594	1316173	152445	516232	216940	174842	232926	222641	92462	329008	1566795	180544	611725	687834	80434	68045	638928	151161	451782	294966	660102	45295	278434	197361	904954	181415	375192	464997	533036	310417	186802	1152265	721443	70291	846977	493420	551015	396830	448838	368612	802819	1106563	592314	609209	614346	447895	675963	248451	585892	936633	847598	765803	124734	563943	486561	815106	255991	419724	490262	783008	316795	101036	563223	853720	6294	400522	735905	496530	616505	127610	12732	428413	220300	220547	570489	132391	132201	149044	975475	1095122	1137610	476114	114987	459908	158613	387481	266425	188988	988064	556087	406842	577776	544155	640174	438855	326752	206133	353057	543100	371688	948319	84567	827366	531026	1268836	296767	800689	371390	591630	315675	550155	411128	396788	271111	54777	375248	147145	87301	309884	186066	173361	255112	344192	410006	654249	302867	547618	250284	275568	114380	291342	157895	263985	79380	215704	872908	682289	749808	141849	67300	99597	224690	257210	48701	65073	114537	173672	585634	1233424	695890	849449	646452	490938	266498	342007	627207	355781	760261	271788	623262	352566	582135	397604	666409	679956	105270	85844	445275
"X195.050844_4.67"	1120354	1398006	2525989	1328899	2213443	4761136	1243524	736206	10312094	5179943	3718953	2071030	353306	533783	2689603	8592351	5657045	1287012	2100159	9496638	1851599	7703610	15134893	1248207	783176	11463946	4562242	285999	2243033	1390408	1342791	2907002	7534703	1272772	920305	1848464	5233112	123268	1842586	2463379	4124869	1248149	6808771	5764607	5081385	7276851	1290073	1166691	5258935	954732	5964578	2746789	2281112	5313908	5858938	5318285	5340057	4840500	2768153	6719671	7821772	3945790	6307737	1550880	822119	1160086	5441941	8263233	2191032	5293399	16527944	10268577	1331503	4386727	3151172	2965373	2578641	2365908	3180758	5605033	607.5	5988080	6714250	1118766	6615889	168860	7596396	3149195	1827455	10652067	8588255	28109	219550	434366	24371841	895432	11099724	6043357	1749826	2324725	3692288	8345069	34289	413059	17622620	2062432	5878251	3927519	6784505	2882693	9454992	3500539	3429536	3468254	2924851	4456246	6994393	1072516	3119950	4930207	15572436	1622765	100138	3466442	5193056	5651876	3600540	8146783	2773649	8863061	1971068	1863912	2298627	1541012	137964	2108839	429775	13311751	607.5	16572946	1710473	559527	11024697	3993478	316705	4324385	2534167	1686345	3676224	1683278	3287688	842092	5884945	287640	1941309	456801	763330	4398279	458744	924805	1297127	155546	515301	1604090	211356	2576605	1459317	1169164	7439304	4430121	2168010	75496	4192685	855987	5199944	391930	479097	1103830	5422102	4702730	20292345	1106345	310338	944285
"X195.050844_4.96"	2410036	6026857	9245374	3085203	7049050	16957319	5793780	4813720	28338717	16805865	12502732	6386433	14077517	4378340	8011651	16368703	12281479	2483160	8451754	28469408	4982882	23261771	24538222	2411753	4269597	36696085	21374299	1400107	7951878	6174585	5733729	10088325	22691590	3807740	4697185	7699264	13879675	831703	9968950	9321953	12591822	8705364	24311549	12496560	24178241	12668435	5277566	8439927	19390563	3177895	17270092	7915283	6392048	11211461	10706813	19313537	15465514	8784709	15610073	18647008	19767257	12867390	17221913	5500479	5112117	3152846	10638134	17503122	13053078	14722588	29636845	29568489	2657662	9052789	10759167	7131250	5200985	7353516	10023936	21546827	17669	15824960	27340905	4169400	12738320	424248	28957490	10791789	4949994	18535386	11848354	201374	827868	3151094	58495251	3382722	29237805	24795934	8280861	13146747	9286713	37430772	70163	3946445	48462830	3993213	7198114	9503828	12403087	9717423	26807402	10461971	7667267	13598413	7726722	8778417	14415999	7167783	11392689	10883670	43361691	3956769	743472	12694039	9802502	11744963	10598026	10515461	7503086	18030982	7985887	3325205	4733187	7486089	411360	6692749	1874296	39238537	971573	38098794	5476864	18521915	776755	22957209	3302430	17097174	6488536	5179328	4477422	5988385	8130675	3346104	15472403	1108283	6259949	2516648	2919853	19030931	1302465	924805	3942449	957970	4548936	3933856	551519	14801777	3461644	6448619	14881802	14867509	5175048	236477	7465055	2851153	7814934	1389874	1312764	4856406	8842685	10722786	29934738	3831844	1483014	2494071
"X181.035456_4.07"	11549910	5257922	17608775	10657431	13044183	36030678	7261208	6909491	29268048	14512991	23334545	13809778	5837544	2594571	12751984	29590881	24301846	11235683	13522888	42794552	13894507	42246522	47261207	7865097	1865267	75260138	18219005	3630317	16104411	7503242	8537528	9162668	25991397	5503464	4587754	8473703	25556162	1332303	13312536	6613249	21462355	5073342	36717068	18461787	19479962	26036420	4959938	10216046	17301601	5608314	29332804	10491655	12202672	23448752	24605602	20074559	19921296	24509866	12734389	36946332	43765299	21471497	21223304	8908921	11188751	7571631	18392766	21091221	16786178	24438964	51170137	36891690	7921432	16085480	13789362	14424243	17107855	14714241	8362817	30163448	8126	34174908	38999155	6133088	26413961	1605625	32122101	21518123	9660665	30919250	35717402	280575	1976782	2568169	66102394	9579482	50601116	21669105	6552813	14478896	16307390	15725469	1370420	4124652	54057483	12123953	31446516	13480559	22963554	12249347	30774819	17165271	17470093	12811880	12013641	18118700	36414651	8256694	14372963	19560902	40454119	10427301	3488082	17466250	25942102	28817403	16843645	24437179	16394638	24333092	12590296	10992119	6223253	13020657	1623756	10758763	2121817	37145056	379608	74160059	7813434	17332850	44375419	23004592	1906953	27331396	12500471	12705530	17869823	9436102	11637518	4185206	17170407	3758974	10169281	2777795	5497423	30008362	3558399	944424	7181581	2046492	5238560	3180237	4832613	15589584	7866370	2558158	20479189	24271602	8184772	2771227	23336305	7839717	21413125	4177729	2968557	6151472	23287406	18499953	60032654	6301903	2265236	5640134
"X165.040382_4.23"	5914542	3285537	19325552	5702720	7724079	28305898	5846622	3741354	13027974	12297861	15424544	10212514	10855072	1619186	8308588	20895482	13453508	7415642	10475983	35048135	8866798	33291902	39682428	5248814	1926605	56144021	12237865	1752090	8131604	3586935	5649821	6274244	16183896	3332032	1455632	7022272	17257916	790006	8001254	5978795	18277950	4081612	30969969	10875162	13416309	14448505	1728124	4902552	10425200	2821369	20617894	4015724	9125465	11583395	17767113	13281775	14491653	17921960	10652705	27569944	32763597	15160968	17298344	3539170	5089001	1786393	10734487	10102013	13597912	17763884	32955314	29010226	2950169	8273042	8215773	8089397	14321798	10273497	3824079	23790609	59974	21966458	28740009	3202335	16728456	382916	21195395	12764878	6743005	20766019	23114124	1284583	1346657	2112594	40862097	4126230	33371485	14276670	4819835	10323782	10460181	22882567	256757	2327941	32854120	7324554	15992338	6798625	16794394	6033274	21428567	12577194	13068405	6864352	6633172	10808251	20122412	5299453	8544427	8594814	27495574	3968320	835047	13269573	14024254	13724743	15026075	26897819	9776257	14993718	10131633	4433477	3614369	13249946	463546	6501316	1366491	28288256	997710	61487618	4662110	10918248	34730095	22515044	1108003	33257422	7496747	8795154	7566829	5958471	5268657	1615545	7722135	1404829	7257302	1785651	3718731	19932606	2265971	639817	3541595	1274458	3379894	1499548	1895066	15397507	4184836	2767218	12687175	17039420	4255768	529447	14051155	3940696	13006022	1963870	1029730	4383418	13763285	12146700	42606906	3270146	1203305	3139612
"X159.065452_6.04"	255309	311879	428765	139264	1294393	563914	98034	569786	791249	207936	175739	320188	304093	207994	803245	217904	515303	386826	153183	1490176	240365	835129	342490	337757	90246	1000597	963190	161254	443707	600598	508284	120305	994193	126792	344750	371797	528458	1144227	199581	214996	369635	213246	609394	663958	890118	439015	473548	1884339	1209307	646401	597370	1026134	473518	268944	278230	610599	435358	300670	525705	227943	604575	566956	314919	362796	159318	1176095	395171	408356	75053	325067	2368900	733434	581521	489297	355664	317181	170664	97433	374897	772653	7137	241909	535665	609298	404957	461571	1037357	541323	190799	163974	724523	50562	59979	97255	2072868	1308292	1074418	940965	147949	432346	185875	1448865	222493	219920	1839142	268181	381802	289562	232636	476191	356367	302915	219852	215867	625549	432648	638321	121762	1084750	821549	2119240	1314978	659431	233617	300266	1311985	297904	507274	191997	562601	51764	183664	144173	150750	137547	148152	169093	364544	312419	1360212	341898	370766	589454	122897	250836	87076	326516	288644	124457	44472	201074	321077	617353	443952	121785	63411	91851	308257	102539	50820	110537	159998	176066	192543	3070098	847567	804686	658153	406727	363945	343538	313052	340858	480191	193345	331454	463780	214748	416771	489883	1090860	90891	76164	471188
"X206.08069_6.75"	155435	734516	70418	43780	506.5	86018	94438	47169	160570	12793	105672	114849	110818	35839	104575	47048	250988	586103	336251	173521	39835	297693	140724	506.5	15431	121127	80448	112319	262598	107102	74453	30651	106180	86059	297958	41608	139302	51875	428629	43991	312751	54149	113890	161191	7616	310403	66390	755359	389071	41770	313946	101762	26533	318834	93554	131561	96645	66224	184599	155739	117718	242381	98808	124925	305398	67546	178424	306907	307170	224186	275298	213298	349075	34656	114441	80007	122690	51698	127731	24490	607.5	37276	364047	125757	104208	11847	245818	305441	182544	259085	5005	506.5	27844	50618	325985	85318	267248	240219	71052	278998	74978	585004	167079	25483	376084	342528	132190	167230	177130	171413	119866	57028	48189	167552	247338	114772	146784	61269	148084	187546	69464	200539	254437	176754	76680	153233	46862	54212	13572	84009	506.5	271633	45149	318603	31758	197899	61430	220431	283256	242462	121584	37004	769008	108105	52249	62375	22244	26324	52285	82234	228185	97527	187841	14318	122384	48376	44253	105589	82745	24395	2009	220902	45143	108366	87972	24283	90927	36565	7959	74761	179232	170611	342338	447093	190340	42625	34229	41989	106511	39050	831034	557311	36402	1953
"X160.060993_1.05"	125874	119612	169212	51922	178667	133961	62116	112544	135473	50982	89801	106582	107075	50672	231879	89854	164365	961904	117812	275988	96995	429902	82872	115071	45084	242014	227788	93037	154867	130855	45028	39963	74044	85943	238287	139055	167944	30380	142637	54206	103303	71182	246803	117057	140778	153027	119033	266216	378433	33391	177745	161039	349089	116709	113185	209141	165654	202937	163055	132619	187526	227053	125757	136490	94783	549987	223338	116863	55772	187390	343873	319702	192541	115782	98705	183534	153646	33032	58981	190902	14883	260424	169029	122377	118487	88344	250808	127350	89418	57334	83958	29312	34904	88971	459213	188919	231183	153489	76525	172129	48905	277418	86739	77563	211658	120894	265774	148481	103686	131993	91754	107179	82177	91929	95517	126929	274592	45728	283856	276713	268826	132186	267996	117739	127934	161023	79878	120179	85333	144209	47143	151743	60473	66975	40777	75298	57945	191312	128191	220563	85853	127157	171919	69163	64740	49267	97761	45700	142614	46086	58704	116756	229049	66111	82492	29649	28734	90445	48443	36114	14794	130178	134880	107623	810849	153310	141827	181774	156194	172018	145326	134762	98350	186680	55668	69813	66701	147476	68051	187030	366293	46064	22822	77397
"X123.045226_5.58"	242477	5148	173775	5178	41746	169812	14512	506.5	264286	26447	22559	132081	29938	14001	51128	204085	44170	117029	17671	296041	45533	101954	826089	22790	5027	176584	71212	18049	100149	48592	28408	14293	78834	30678	66033	43531	134232	12239	154857	48985	166256	21049	94619	226602	8314	83216	37152	19155	224648	506.5	104366	58987	76923	108449	53770	325518	124041	58483	76601	219771	74049	229639	109421	37243	348624	110075	355926	197850	161587	116212	348086	112223	149226	69129	182116	237382	381004	71826	20634	87966	607.5	159163	151394	91736	140884	2226	79918	268147	137858	369783	307418	506.5	22509	10790	160750	120950	40554	37141	68777	143535	67302	145278	221871	3938	213640	63222	629000	124745	124716	60862	305741	188364	248426	258672	63396	208156	185397	11300	22918	117842	607.5	52954	152349	62435	279817	225758	96341	156376	158288	147569	165500	146268	117350	152941	108271	150174	27504	29210	112650	1253934	196787	92403	81590	100077	4970	126593	95774	79485	188739	127152	143120	50910	115110	71015	163461	38488	50746	294626	131697	12811	112342	4600	5194	93179	91022	4800	131425	20685	249392	7721	163821	112369	155021	21894	294040	51513	102588	21203	289834	159434	67076	53281	9554	97621
