"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_15"	""	""	""	"104"	""	""	"15"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_16"	""	""	""	"112"	""	""	"16"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_17"	""	""	""	"121"	""	""	"17"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_18"	""	""	""	"129"	""	""	"18"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_19"	""	""	""	"138"	""	""	"19"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_20"	""	""	""	"147"	""	""	"20"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_21"	""	""	""	"157"	""	""	"21"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_22"	""	""	""	"166"	""	""	"22"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr001_23"	""	""	""	"177"	""	""	"23"	""	""	"1"	""	""	"QC"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_01"	""	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_01"	""	""	""	"92"	""	""	"1"	""	""	"1"	""	""	"STDmix"	""	""
