"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Carbon dioxide treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Virus treatment]"	"Term Source REF"	"Term Accession Number"
"aphid 1"	"Rhopalosiphum padi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/40932"	"Rhopalosiphum padi L."	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"aphid 1"	"Ambient CO2"	""	""	"Sham control"	""	""
"aphid 2"	"Rhopalosiphum padi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/40932"	"Rhopalosiphum padi L."	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"aphid 2"	"Elevated CO2"	""	""	"Sham control"	""	""
"aphid 3"	"Rhopalosiphum padi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/40932"	"Rhopalosiphum padi L."	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"aphid 3"	"Ambient CO2"	""	""	"Virus"	""	""
"aphid 4"	"Rhopalosiphum padi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/40932"	"Rhopalosiphum padi L."	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"aphid 4"	"Elevated CO2"	""	""	"Virus"	""	""
"wheat 1"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Yitpi"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wheat 1"	"Ambient CO2"	""	""	"Sham control"	""	""
"wheat 2"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Yitpi"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wheat 2"	"Elevated CO2"	""	""	"Sham control"	""	""
"wheat 3"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Yitpi"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wheat 3"	"Ambient CO2"	""	""	"Virus"	""	""
"wheat 4"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Yitpi"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wheat 4"	"Elevated CO2"	""	""	"Virus"	""	""
