"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"n/a"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"D_blank0"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC0"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC1"	""	""	""
"n/a"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"D_blank1"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_2"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM2"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP2"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_4"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM_4"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP_4"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC2"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_6"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM_6"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP_6"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_1"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM_1"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP_1"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC3"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_3"	"none"	""	""
