"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[collision energy]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Methanol extraction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD2_20EV"	"flower bud"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD2_30EV"	"flower bud"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD2_40EV"	"flower bud"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD2_50EV"	"flower bud"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR1_MS"	"corolla tube"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR1_20EV"	"corolla tube"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR1_30EV"	"corolla tube"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR1_40EV"	"corolla tube"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR1_50EV"	"corolla tube"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR2_MS"	"corolla tube"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
