"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[collision energy]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Methanol extraction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA1_20EV"	"plant ovary"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA1_30EV"	"plant ovary"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA1_40EV"	"plant ovary"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA1_50EV"	"plant ovary"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA2_MS"	"plant ovary"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA2_20EV"	"plant ovary"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA2_30EV"	"plant ovary"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA2_40EV"	"plant ovary"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant ovary"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000750"	"Sample collection"	"OVA2_50EV"	"plant ovary"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED1_MS"	"plant pedicel"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED1_20EV"	"plant pedicel"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED1_30EV"	"plant pedicel"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED1_40EV"	"plant pedicel"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED1_50EV"	"plant pedicel"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED2_MS"	"plant pedicel"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED2_20EV"	"plant pedicel"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED2_30EV"	"plant pedicel"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED2_40EV"	"plant pedicel"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"plant pedicel"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002262"	"Sample collection"	"PED2_50EV"	"plant pedicel"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO1_MS"	"root"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO1_20EV"	"root"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO1_30EV"	"root"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO1_40EV"	"root"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO1_50EV"	"root"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO2_MS"	"root"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO2_20EV"	"root"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO2_30EV"	"root"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO2_40EV"	"root"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"ROO2_50EV"	"root"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE1_MS"	"seed"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE1_20EV"	"seed"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE1_30EV"	"seed"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE1_40EV"	"seed"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE1_50EV"	"seed"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE2_MS"	"seed"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE2_20EV"	"seed"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE2_30EV"	"seed"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE2_40EV"	"seed"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"SEE2_50EV"	"seed"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP1_MS"	"sepal"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP1_20EV"	"sepal"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP1_30EV"	"sepal"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP1_40EV"	"sepal"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP1_50EV"	"sepal"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP2_MS"	"sepal"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP2_20EV"	"sepal"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP2_30EV"	"sepal"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP2_40EV"	"sepal"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"sepal"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001547"	"Sample collection"	"SEP2_50EV"	"sepal"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE1_MS"	"stem"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE1_20EV"	"stem"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE1_30EV"	"stem"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE1_40EV"	"stem"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE1_50EV"	"stem"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE2_MS"	"stem"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE2_20EV"	"stem"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE2_30EV"	"stem"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE2_40EV"	"stem"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"STE2_50EV"	"stem"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY1_MS"	"style"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY1_20EV"	"style"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY1_30EV"	"style"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY1_40EV"	"style"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY1_50EV"	"style"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY2_MS"	"style"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY2_20EV"	"style"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY2_30EV"	"style"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY2_40EV"	"style"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"style"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001313"	"Sample collection"	"STY2_50EV"	"style"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
