"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental Replication]"	"Factor Value[Harvesting Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Primary Phototrophic cyanobacteria]"	"Term Source REF"	"Term Accession Number"
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O7B_1"	"B_1"	"7"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O7B_2"	"B_2"	"7"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O7C_1"	"C_1"	"7"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O7C_2"	"C_2"	"7"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14A_1"	"A_1"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14A_2"	"A_2"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14B_1"	"B_1"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14B_2"	"B_2"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14C_1"	"C_1"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
"UCC-O"	"unclassified Cyanobacteria"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34079"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"x_FSFA_HL_GC_O14C_2"	"C_2"	"14"	"day"	"UO"	""	"Phormidium sp. OSCR (OCL_P2H12)"	""	""
