"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Human state]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Disease]"	"Term Source REF"	"Term Accession Number"
"KeratCorn4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn4"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn5"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn6"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn7"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn8"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn9"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn10"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"KeratCorn11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"KeratCorn11"	"cornea"	"EFO"	""	"alive"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0001421"	"Keratoconus"	"EFO"	""
"NormAH1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH1"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH2"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH3"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH4"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH5"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH6"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH7"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
