"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"2165503"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2165503"
"2167240"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2167240"
"2167245"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2167245"
"2167250"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2167250"
"2167255"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2167255"
"2175914"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2175914"
"2175919"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2175919"
"2178462"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2178462"
"2178467"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2178467"
"2178472"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2178472"
"2195435"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195435"
"2195439"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195439"
"2195438"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195438"
"2195440"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195440"
