"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Fermetation process]"	"Term Source REF"	"Term Accession Number"
"sake_2_day1_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day1_2"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
"sake_2_day5_1"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day5_1"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate1"	""	""	"sake_1"	""	""
"sake_2_day5_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day5_2"	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
"sake_2_day11_1"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day11_1"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate1"	""	""	"sake_1"	""	""
"sake_2_day11_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day11_2"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
"sake_2_day19_1"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day19_1"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate1"	""	""	"sake_1"	""	""
"sake_2_day19_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day19_2"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
"sake_2_day26_1"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day26_1"	"26"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate1"	""	""	"sake_1"	""	""
"sake_2_day26_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day26_2"	"26"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
"sake_2_day34_1"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day34_1"	"34"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate1"	""	""	"sake_1"	""	""
"sake_2_day34_2"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Yamadanishiki"	""	""	"Sake"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66825"	"Sample collection"	"sake_2_day34_2"	"34"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate2"	""	""	"sake_2"	""	""
