"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC8"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC9"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC10"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT1"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT2"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT3"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT4"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT5"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT6"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT7"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT8"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDT10"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC1"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC2"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC3"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC4"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC5"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC6"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC7"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC8"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"foot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000476"	"Sample collection"	"LeFC9"
