Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
75	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_75_pos_MM	20150813_75_pos_MM.d	Data transformation			Metabolite identification		
76	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_76_pos_MM	20150813_76_pos_MM.d	Data transformation			Metabolite identification		
77	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_77_pos_MM	20150813_77_pos_MM.d	Data transformation			Metabolite identification		
78	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_78_pos_MM	20150813_78_pos_MM.d	Data transformation			Metabolite identification		
79	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_79_pos_MM	20150813_79_pos_MM.d	Data transformation			Metabolite identification		
80	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_80_pos_MM	20150813_80_pos_MM.d	Data transformation			Metabolite identification		
81	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_81_pos_MM	20150813_81_pos_MM.d	Data transformation			Metabolite identification		
82	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_82_pos_MM	20150813_82_pos_MM.d	Data transformation			Metabolite identification		
83	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_83_pos_MM	20150813_83_pos_MM.d	Data transformation			Metabolite identification		
84	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_84_pos_MM	20150813_84_pos_MM.d	Data transformation			Metabolite identification		
85	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_85_pos_MM	20150813_85_pos_MM.d	Data transformation			Metabolite identification		
86	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_86_pos_MM	20150813_86_pos_MM.d	Data transformation			Metabolite identification		
87	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_87_pos_MM	20150813_87_pos_MM.d	Data transformation			Metabolite identification		
88	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_88_pos_MM	20150813_88_pos_MM.d	Data transformation			Metabolite identification		
89	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_89_pos_MM	20150813_89_pos_MM.d	Data transformation			Metabolite identification		
90	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_90_pos_MM	20150813_90_pos_MM.d	Data transformation			Metabolite identification		
91	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_91_pos_MM	20150813_91_pos_MM.d	Data transformation			Metabolite identification		
92	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_92_pos_MM	20150813_92_pos_MM.d	Data transformation			Metabolite identification		
93	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_93_pos_MM	20150813_93_pos_MM.d	Data transformation			Metabolite identification		
94	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_94_pos_MM	20150813_94_pos_MM.d	Data transformation			Metabolite identification		
95	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_95_pos_MM	20150813_95_pos_MM.d	Data transformation			Metabolite identification		
96	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_96_pos_MM	20150813_96_pos_MM.d	Data transformation			Metabolite identification		
97	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_97_pos_MM	20150813_97_pos_MM.d	Data transformation			Metabolite identification		
98	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_98_pos_MM	20150813_98_pos_MM.d	Data transformation			Metabolite identification		
99	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_99_pos_MM	20150813_99_pos_MM.d	Data transformation			Metabolite identification		
100	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_100_pos_MM	20150813_100_pos_MM.d	Data transformation			Metabolite identification		
