Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_20_pos_MM	20150813_20_pos_MM.d	Data transformation			Metabolite identification		
22	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_22_pos_MM	20150813_22_pos_MM.d	Data transformation			Metabolite identification		
23	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_23_pos_MM	20150813_23_pos_MM.d	Data transformation			Metabolite identification		
24	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_24_pos_MM	20150813_24_pos_MM.d	Data transformation			Metabolite identification		
25	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_25_pos_MM	20150813_25_pos_MM.d	Data transformation			Metabolite identification		
26	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_26_pos_MM	20150813_26_pos_MM.d	Data transformation			Metabolite identification		
27	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_27_pos_MM	20150813_27_pos_MM.d	Data transformation			Metabolite identification		
28	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_28_pos_MM	20150813_28_pos_MM.d	Data transformation			Metabolite identification		
29	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_29_pos_MM	20150813_29_pos_MM.d	Data transformation			Metabolite identification		
30	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_30_pos_MM	20150813_30_pos_MM.d	Data transformation			Metabolite identification		
31	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_31_pos_MM	20150813_31_pos_MM.d	Data transformation			Metabolite identification		
32	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_32_pos_MM	20150813_32_pos_MM.d	Data transformation			Metabolite identification		
33	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_33_pos_MM	20150813_33_pos_MM.d	Data transformation			Metabolite identification		
34	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_34_pos_MM	20150813_34_pos_MM.d	Data transformation			Metabolite identification		
35	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_35_pos_MM	20150813_35_pos_MM.d	Data transformation			Metabolite identification		
36	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_36_pos_MM	20150813_36_pos_MM.d	Data transformation			Metabolite identification		
37	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_37_pos_MM	20150813_37_pos_MM.d	Data transformation			Metabolite identification		
38	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_38_pos_MM	20150813_38_pos_MM.d	Data transformation			Metabolite identification		
39	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_39_pos_MM	20150813_39_pos_MM.d	Data transformation			Metabolite identification		
40	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_40_pos_MM	20150813_40_pos_MM.d	Data transformation			Metabolite identification		
41	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_41_pos_MM	20150813_41_pos_MM.d	Data transformation			Metabolite identification		
