"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"in-house standard tomato"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Angelle"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_TomQC"	"QC"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_Mixed"	"Mix"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_AC+_51"	"AC+"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_RIN_51"	"RIN"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_NOR_51"	"NOR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_CNR_51"	"CNR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_AC+_20"	"AC+"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_NOR_20"	"NOR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_RIN_20"	"RIN"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"01_CNR_20"	"CNR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"1"	""	""
