"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[MeJA treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental Group]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMA2a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMA3a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB1a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB2a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMB3a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC1a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC2a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA200uMC3a"	"Treated"	""	""	"200.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA1a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA2a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMA3a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB1a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB2a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMB3a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC1a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC2a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA400uMC3a"	"Treated"	""	""	"400.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
