"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Compound ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time post exposure ]"	"Unit"	"Term Source REF"	"Term Accession Number"
"CB1_DC50002"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CB1_DC50002"	"OXPA"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CB2_DC50015"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CB2_DC50015"	"OXPA"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CB3_DC50028"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CB3_DC50028"	"OXPA"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CB4_DC50041"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CB4_DC50041"	"OXPA"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CS1_DC50005"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CS1_DC50005"	"Control"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CS2_DC50018"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CS2_DC50018"	"Control"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CS3_DC50031"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CS3_DC50031"	"Control"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"CS4_DC50044"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"CS4_DC50044"	"Control"	""	""	"5"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pool1_DC50000"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Pool1_DC50000"	"PBQC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pool2_DC50000"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Pool2_DC50000"	"PBQC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pool3_DC50000"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Pool3_DC50000"	"PBQC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pool4_DC50000"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Pool4_DC50000"	"PBQC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pool5_DC50000"	"Trypanosoma brucei"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/5691"	"bloodstream form"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000134"	"Sample collection"	"Pool5_DC50000"	"PBQC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"BBlank1_DC50007"	"blank"	""	""	"solvent"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"BBlank1_DC50007"	"Solvent Blank"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
