"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[batch]"	"Term Source REF"	"Term Accession Number"
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Albendazole_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Albendazole_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Albendazole_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Ancitabine_B4_Rep1"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Ancitabine_B4_Rep2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Ancitabine_B4_Rep3"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Aspirin_B2_Rep1"	"Rep1"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Aspirin_B2_Rep2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Aspirin_B2_Rep3"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Atrazine_B4_Rep1"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Atrazine_B4_Rep2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Atrazine_B4_Rep3"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BetaEstradiol_B1_Rep1"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BetaEstradiol_B1_Rep2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BetaEstradiol_B1_Rep3"	"Rep3"	""	""	"Batch1"	""	""
