"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[herbal supplements]"	"Term Source REF"	"Term Accession Number"
"ECA-C1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-C2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-C3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-C4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C4"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-C5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C5"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-C6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-C6"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"ECA-R1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R1"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-R2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R2"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-R3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R3"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-R4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R4"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-R5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R5"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-R6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-R6"	"positive control"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0000080"
"ECA-E10-1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-1"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
"ECA-E10-2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-2"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
"ECA-E10-3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-3"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
"ECA-E10-4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-4"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
"ECA-E10-5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-5"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
"ECA-E10-6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Wistar"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001342"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"ECA-E10-6"	"treatment"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000727"
