"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivar]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Colour]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivation Year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Freezing method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Storage conditions]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"He_11_VG_R_15_1701"	"Heritage"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"JM_11_VG_Y_07_0501"	"Juan de Metz"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Lu_11_DR_Y_08_2801"	"Lumina"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"JKI, Dresden, Germany"	""	""	"frozen in dry ice and transported to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"OM_11_DR_P_09_1501"	"Orange Marie"	""	""	"pink"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"JKI, Dresden, Germany"	""	""	"frozen in dry ice and transported to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Po_10_BP_R_14_2301"	"Polka"	""	""	"red"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Pp_10_VG_R_18_3001"	"Popiel"	""	""	"red"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SG_10_BP_Y_10_0901"	"Sugana Giallo"	""	""	"yellow"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SG_11_BP_Y_11_2101"	"Sugana Giallo"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SG_12_BP_Y_12_1201"	"Sugana Giallo"	""	""	"yellow"	""	""	"2012"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SR_10_BP_R_21_2401"	"Sugana Red"	""	""	"red"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SR_11_BP_R_22_2201"	"Sugana Red"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"SR_12_BP_R_23_0701"	"Sugana Red"	""	""	"red"	""	""	"2012"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Tu_10_BP_R_24_1001"	"Tulameen"	""	""	"red"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Tu_11_BP_R_26_2501"	"Tulameen"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Tu_11_DR_R_19_1401"	"Tulameen"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"JKI, Dresden, Germany"	""	""	"frozen in dry ice and transported to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Tu_11_VG_R_27_1901"	"Tulameen"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
