"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variety]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Maufacturing process]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Withering duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"white tea-0 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-0 h-1"	"withering"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-0 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-0 h-2"	"withering"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-0 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-0 h-3"	"withering"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-4 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-4 h-1"	"withering"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-4 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-4 h-2"	"withering"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-4 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-4 h-3"	"withering"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-8 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-8 h-1"	"withering"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-8 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-8 h-2"	"withering"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-8 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-8 h-3"	"withering"	""	""	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-12 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-12 h-1"	"withering"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
