"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Geographical origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking mix]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spiking level]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample10"	"China"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample11"	"China"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample12"	"China"	""	""	"n°1 (11 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample13"	"China"	""	""	"n°2 (3 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample14"	"China"	""	""	"n°2 (3 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample15"	"China"	""	""	"n°2 (3 molecules)"	""	""	"10"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample16"	"China"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample17"	"China"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"BlackTea_Sample18"	"China"	""	""	"ACN"	""	""	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Keemun black tea, China"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"Camellia sinensis var. sinensis"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	""	"BlackTea_QC"	"China"	""	""	"N/A"	""	""	"N/A"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
"Blank"	"acetonitrile"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_38472"	""	""	""	"N/A"	""	""	""	"BlackTea_Blank"	""	""	""	"N/A"	""	""	"N/A"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"
