"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infestation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Biological Replicate]"	"Term Source REF"	"Term Accession Number"
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_co1"	"PB130"	""	""	"Control"	""	""	"1"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_co2"	"PB130"	""	""	"Control"	""	""	"2"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_co3"	"PB130"	""	""	"Control"	""	""	"3"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_os1"	"PB130"	""	""	"Regurgitate treatment"	""	""	"1"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_os2"	"PB130"	""	""	"Regurgitate treatment"	""	""	"2"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_os3"	"PB130"	""	""	"Regurgitate treatment"	""	""	"3"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_sesamia1"	"PB130"	""	""	"Sesamia infested"	""	""	"1"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_sesamia2"	"PB130"	""	""	"Sesamia infested"	""	""	"2"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_sesamia3"	"PB130"	""	""	"Sesamia infested"	""	""	"3"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_wound1"	"PB130"	""	""	"Wounded"	""	""	"1"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_wound2"	"PB130"	""	""	"Wounded"	""	""	"2"	""	""
"MBG-CSIC"	"Zea mays"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4577"	"Zea mays subsp. mays"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_381124"	"stem internode"	"EFO"	"http://purl.obolibrary.org/obo/PO_0020142"	"Sample collection"	"PB130_wound3"	"PB130"	""	""	"Wounded"	""	""	"3"	""	""
