"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"02sa01l02h1a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l02h1a1"	"wounding"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l02h2a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l02h2a1"	"wounding"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l02h3a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l02h3a1"	"wounding"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l02h4a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l02h4a1"	"wounding"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l02h5a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l02h5a1"	"wounding"	""	""	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l04h1a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l04h1a1"	"wounding"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l04h2a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l04h2a1"	"wounding"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l04h3a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l04h3a1"	"wounding"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l04h4a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l04h4a1"	"wounding"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l04h5a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l04h5a1"	"wounding"	""	""	"4"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l14h1a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l14h1a1"	"wounding"	""	""	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l14h2a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l14h2a1"	"wounding"	""	""	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l14h3a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l14h3a1"	"wounding"	""	""	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l14h4a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l14h4a1"	"wounding"	""	""	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l14h5a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l14h5a1"	"wounding"	""	""	"14"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l72h1a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l72h1a1"	"wounding"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l72h2a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l72h2a1"	"wounding"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l72h3a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l72h3a1"	"wounding"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l72h4a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l72h4a1"	"wounding"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"02sa01l72h5a1"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"02sa01l72h5a1"	"wounding"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
