"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Adipose tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Connective tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glandular tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stroma tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tumour]"	"Term Source REF"	"Term Accession Number"
"BRB05"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB05S"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB06E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB06F2"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB06N"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB06S"	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB06W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB07"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB07D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB07"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB07E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB07"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB07N"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB07"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB07S"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
