"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling date]"	"Term Source REF"	"Term Accession Number"
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S3_f4"	"filter 4"	""	""	"30 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S1_fx"	"filter x"	""	""	"16 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S5_f4"	"filter 4"	""	""	"8 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S4_f5"	"filter 5"	""	""	"4 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S5_f6"	"filter 6"	""	""	"8 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S4_f4"	"filter 4"	""	""	"4 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S2_f3"	"filter 3"	""	""	"21 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S3_f5"	"filter 5"	""	""	"30 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S4_f6"	"filter 6"	""	""	"4 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S5_f5"	"filter 5"	""	""	"8 June 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S1_f2"	"filter 2"	""	""	"16 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S2_f2"	"filter 2"	""	""	"21 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S3_f6"	"filter 6"	""	""	"30 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S2_f1"	"filter 1"	""	""	"21 May 2012"	""	""
"filter extract"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"endometabolome"	""	""	"Sample collection"	"S1_fy"	"filter y"	""	""	"16 May 2012"	""	""
