"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Material sample]"	"Term Source REF"	"Term Accession Number"
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C24_biopsy"	"Control"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C28_biopsy"	"Control"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C31_biopsy"	"Control"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS6_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS10_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS15_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS17_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS18_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS21_biopsy"	"Digestable starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS6_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS7_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS8_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS12_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS13_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS16_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS17_biopsy"	"Raw starch"	""	""	"Biopsy"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C1_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C3_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C5_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C6_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C7_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C8_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C9_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C10_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C11_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_C12_MuscleFAA"	"Control"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS11_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS12_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS13_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS14_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS15_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS16_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS17_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS18_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_DS20_MuscleFAA"	"Digestable starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS11_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS12_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS13_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS14_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS15_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS16_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS17_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
"batch1"	"Dicentrarchus labrax"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/13489"	"skeletal muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001103"	"Sample collection"	"1H_RS19_MuscleFAA"	"Raw starch"	""	""	"Extract"	""	""
